address;source_location;insn;indent
0x1180;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;ENDBR64;
0x1184;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;PUSH	%R15;
0x1186;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;PUSH	%R14;
0x1188;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;PUSH	%R13;
0x118a;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;PUSH	%R12;
0x118c;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;PUSH	%RBP;
0x118d;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;PUSH	%RBX;
0x118e;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;MOV	%RSI,%RBX;
0x1191;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;SUB	$0x178,%RSP;
0x1198;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;MOV	%FS:0x28,%RAX;
0x11a1;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;MOV	%RAX,0x168(%RSP);
0x11a9;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:30;XOR	%EAX,%EAX;
0x11ab;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:32;CMP	$0x4,%EDI;
0x11ae;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:32;JE	11f9 <main+0x79>;
0x11b0;/usr/include/x86_64-linux-gnu/bits/stdio2.h:105;MOV	(%RSI),%RCX;
0x11b3;/usr/include/x86_64-linux-gnu/bits/stdio2.h:105;MOV	0x2e66(%RIP),%RDI;
0x11ba;/usr/include/x86_64-linux-gnu/bits/stdio2.h:105;LEA	0xe57(%RIP),%RDX;
0x11c1;/usr/include/x86_64-linux-gnu/bits/stdio2.h:105;MOV	$0x1,%ESI;
0x11c6;/usr/include/x86_64-linux-gnu/bits/stdio2.h:105;CALL	1160 <.plt.sec@start+0x80>;
0x11cb;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:34;MOV	$0x1,%EAX;
0x11d0;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;MOV	0x168(%RSP),%RDX;
0x11d8;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;SUB	%FS:0x28,%RDX;
0x11e1;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;JNE	170d <main+0x58d>;
0x11e7;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;ADD	$0x178,%RSP;
0x11ee;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;POP	%RBX;
0x11ef;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;POP	%RBP;
0x11f0;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;POP	%R12;
0x11f2;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;POP	%R13;
0x11f4;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;POP	%R14;
0x11f6;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;POP	%R15;
0x11f8;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:96;RET;
0x11f9;/usr/include/stdlib.h:364;MOV	0x8(%RSI),%RDI;
0x11fd;/usr/include/stdlib.h:364;MOV	$0xa,%EDX;
0x1202;/usr/include/stdlib.h:364;XOR	%ESI,%ESI;
0x1204;/usr/include/stdlib.h:364;CALL	1130 <.plt.sec@start+0x50>;
0x1209;/usr/include/stdlib.h:364;MOV	0x10(%RBX),%RDI;
0x120d;/usr/include/stdlib.h:364;XOR	%ESI,%ESI;
0x120f;/usr/include/stdlib.h:364;MOV	$0xa,%EDX;
0x1214;/usr/include/stdlib.h:364;MOV	%RAX,%R15;
0x1217;/usr/include/stdlib.h:364;MOV	%RAX,0x68(%RSP);
0x121c;/usr/include/stdlib.h:364;MOV	%EAX,0x1c(%RSP);
0x1220;/home/hippolyte/Documents/Projet/AOA/demo_2024/Etude-de-cas/driver.c:38;MOV	%EAX,0x18(%RSP);
0x1224;/usr/include/stdlib.h:364;CALL	1130 <.plt.sec@start+0x50>;
0x1229;/usr/include/stdlib.h:364;MOV	0x18(%RBX),%RDI;
0x122d;/usr/include/stdlib.h:364;MOV	$0xa,%EDX;
0x1232;/usr/include/stdlib.h:364;XOR	%ESI,%ESI;
